"Area Name-Legal/Statistical Area Description","Qualifying Name","Area (Land)","Area (Water)","Summary Level","Geographic Component","Region","Division","FIPS","Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area","Total Population 2000"
"Duluth--Superior, MN--WI MSA","Duluth--Superior, MN--WI MSA","19513741378","2086310909","380","00",,,"2240","2240",243815
"Eau Claire, WI MSA","Eau Claire, WI MSA","4268480984","99796593","380","00",,,"2290","2290",148337
"El Paso, TX MSA","El Paso, TX MSA","2623932741","4064344","380","00",,,"2320","2320",679622
"Elkhart--Goshen, IN MSA","Elkhart--Goshen, IN MSA","1201271553","10448707","380","00",,,"2330","2330",182791
"Elmira, NY MSA","Elmira, NY MSA","1057155027","6777388","380","00",,,"2335","2335",91070
"Enid, OK MSA","Enid, OK MSA","2741220791","4019989","380","00",,,"2340","2340",57813
"Erie, PA MSA","Erie, PA MSA","2077035205","1959210570","380","00",,,"2360","2360",280843
"Eugene--Springfield, OR MSA","Eugene--Springfield, OR MSA","11794816359","434567957","380","00",,,"2400","2400",322959
"Evansville--Henderson, IN--KY MSA","Evansville--Henderson, IN--KY MSA","3800215461","119160529","380","00",,,"2440","2440",296195
"Fargo--Moorhead, ND--MN MSA","Fargo--Moorhead, ND--MN MSA","7279089829","26346500","380","00",,,"2520","2520",174367
"Fayetteville, NC MSA","Fayetteville, NC MSA","1690527787","14867046","380","00",,,"2560","2560",302963
"Fayetteville--Springdale--Rogers, AR MSA","Fayetteville--Springdale--Rogers, AR MSA","4650870379","104997498","380","00",,,"2580","2580",311121
"Flagstaff, AZ--UT MSA","Flagstaff, AZ--UT MSA","58558032695","415047082","380","00",,,"2620","2620",122366
"Florence, AL MSA","Florence, AL MSA","3273727257","203050620","380","00",,,"2650","2650",142950
"Florence, SC MSA","Florence, SC MSA","2071580958","10094839","380","00",,,"2655","2655",125761
"Fort Collins--Loveland, CO MSA","Fort Collins--Loveland, CO MSA","6737337334","84321662","380","00",,,"2670","2670",251494
"Fort Myers--Cape Coral, FL MSA","Fort Myers--Cape Coral, FL MSA","2081393117","1057384871","380","00",,,"2700","2700",440888
"Fort Pierce--Port St. Lucie, FL MSA","Fort Pierce--Port St. Lucie, FL MSA","2921663719","810171042","380","00",,,"2710","2710",319426
"Fort Smith, AR--OK MSA","Fort Smith, AR--OK MSA","4676098528","154517084","380","00",,,"2720","2720",207290
"Fort Walton Beach, FL MSA","Fort Walton Beach, FL MSA","2423260572","379107044","380","00",,,"2750","2750",170498
"Fort Wayne, IN MSA","Fort Wayne, IN MSA","6339148973","32554205","380","00",,,"2760","2760",502141
"Fresno, CA MSA","Fresno, CA MSA","20975242782","186883492","380","00",,,"2840","2840",922516
"Gadsden, AL MSA","Gadsden, AL MSA","1385183532","36080591","380","00",,,"2880","2880",103459
"Gainesville, FL MSA","Gainesville, FL MSA","2264284694","245733880","380","00",,,"2900","2900",217955
"Glens Falls, NY MSA","Glens Falls, NY MSA","4415228934","188476585","380","00",,,"2975","2975",124345
"Goldsboro, NC MSA","Goldsboro, NC MSA","1431147704","10670131","380","00",,,"2980","2980",113329
"Grand Forks, ND--MN MSA","Grand Forks, ND--MN MSA","8827139181","76303940","380","00",,,"2985","2985",97478
"Grand Junction, CO MSA","Grand Junction, CO MSA","8618821990","34604691","380","00",,,"2995","2995",116255
"Grand Rapids--Muskegon--Holland, MI MSA","Grand Rapids--Muskegon--Holland, MI MSA","7144249175","7869252554","380","00",,,"3000","3000",1088514
"Great Falls, MT MSA","Great Falls, MT MSA","6987537964","35607133","380","00",,,"3040","3040",80357
"Green Bay, WI MSA","Green Bay, WI MSA","1369262916","224680408","380","00",,,"3080","3080",226778
"Greensboro--Winston-Salem--High Point, NC MSA","Greensboro--Winston-Salem--High Point, NC MSA","10051987067","106861385","380","00",,,"3120","3120",1251509
"Greenville, NC MSA","Greenville, NC MSA","1687575713","8266188","380","00",,,"3150","3150",133798
"Greenville--Spartanburg--Anderson, SC MSA","Greenville--Spartanburg--Anderson, SC MSA","8310255416","186696791","380","00",,,"3160","3160",962441
"Harrisburg--Lebanon--Carlisle, PA MSA","Harrisburg--Lebanon--Carlisle, PA MSA","5156224425","93789841","380","00",,,"3240","3240",629401
"Hartford, CT MSA","Hartford, CT MSA","4343905970","101556875","380","00",,,"3280","3280",1183110
"Hattiesburg, MS MSA","Hattiesburg, MS MSA","2495826239","18165969","380","00",,,"3285","3285",111674
"Hickory--Morganton--Lenoir, NC MSA","Hickory--Morganton--Lenoir, NC MSA","4243632694","70850466","380","00",,,"3290","3290",341851
"Honolulu, HI MSA","Honolulu, HI MSA","1553387626","3955125860","380","00",,,"3320","3320",876156
"Houma, LA MSA","Houma, LA MSA","6059561368","3140298543","380","00",,,"3350","3350",194477
"Houston--Galveston--Brazoria, TX CMSA","Houston--Galveston--Brazoria, TX CMSA","19955821591","2778127770","380","00",,,"3362","3362",4669571
"Huntington--Ashland, WV--KY--OH MSA","Huntington--Ashland, WV--KY--OH MSA","5592345884","69279923","380","00",,,"3400","3400",315538
"Huntsville, AL MSA","Huntsville, AL MSA","3555980626","121623095","380","00",,,"3440","3440",342376
"Indianapolis, IN MSA","Indianapolis, IN MSA","9124508777","48234224","380","00",,,"3480","3480",1607486
"Iowa City, IA MSA","Iowa City, IA MSA","1591493741","22974641","380","00",,,"3500","3500",111006
"Jackson, MI MSA","Jackson, MI MSA","1830079005","44462965","380","00",,,"3520","3520",158422
"Jackson, MS MSA","Jackson, MS MSA","6114473538","167289093","380","00",,,"3560","3560",440801
"Jackson, TN MSA","Jackson, TN MSA","2189882226","4805743","380","00",,,"3580","3580",107377
"Jacksonville, FL MSA","Jacksonville, FL MSA","6825489367","1227340762","380","00",,,"3600","3600",1100491
"Jacksonville, NC MSA","Jacksonville, NC MSA","1986049524","367097555","380","00",,,"3605","3605",150355
"Jamestown, NY MSA","Jamestown, NY MSA","2750690434","1134334835","380","00",,,"3610","3610",139750
"Janesville--Beloit, WI MSA","Janesville--Beloit, WI MSA","1866004683","14835453","380","00",,,"3620","3620",152307
"Johnson City--Kingsport--Bristol, TN--VA MSA","Johnson City--Kingsport--Bristol, TN--VA MSA","7421633519","117816403","380","00",,,"3660","3660",480091
"Johnstown, PA MSA","Johnstown, PA MSA","4565324228","30864587","380","00",,,"3680","3680",232621
"Jonesboro, AR MSA","Jonesboro, AR MSA","1841065959","5533069","380","00",,,"3700","3700",82148
"Joplin, MO MSA","Joplin, MO MSA","3279312346","4745201","380","00",,,"3710","3710",157322
"Kalamazoo--Battle Creek, MI MSA","Kalamazoo--Battle Creek, MI MSA","4872908527","1314082198","380","00",,,"3720","3720",452851
"Kansas City, MO--KS MSA","Kansas City, MO--KS MSA","14002023909","205082121","380","00",,,"3760","3760",1776062
"Killeen--Temple, TX MSA","Killeen--Temple, TX MSA","5468716854","85929587","380","00",,,"3810","3810",312952
"Knoxville, TN MSA","Knoxville, TN MSA","6343566314","207611941","380","00",,,"3840","3840",687249
"Kokomo, IN MSA","Kokomo, IN MSA","1433434131","2289397","380","00",,,"3850","3850",101541
"La Crosse, WI--MN MSA","La Crosse, WI--MN MSA","2618857255","97577351","380","00",,,"3870","3870",126838
"Lafayette, LA MSA","Lafayette, LA MSA","6717445884","231983543","380","00",,,"3880","3880",385647
"Lafayette, IN MSA","Lafayette, IN MSA","2343647486","8962176","380","00",,,"3920","3920",182821
"Lake Charles, LA MSA","Lake Charles, LA MSA","2774180172","60137061","380","00",,,"3960","3960",183577
"Lakeland--Winter Haven, FL MSA","Lakeland--Winter Haven, FL MSA","4854625486","351212963","380","00",,,"3980","3980",483924
"Lancaster, PA MSA","Lancaster, PA MSA","2458056156","89989384","380","00",,,"4000","4000",470658
"Lansing--East Lansing, MI MSA","Lansing--East Lansing, MI MSA","4421254717","19370273","380","00",,,"4040","4040",447728
"Laredo, TX MSA","Laredo, TX MSA","8694158147","48417791","380","00",,,"4080","4080",193117
"Las Cruces, NM MSA","Las Cruces, NM MSA","9860559833","19259154","380","00",,,"4100","4100",174682
"Las Vegas, NV--AZ MSA","Las Vegas, NV--AZ MSA","101964301648","907681681","380","00",,,"4120","4120",1563282
"Lawrence, KS MSA","Lawrence, KS MSA","1183288922","45585042","380","00",,,"4150","4150",99962
"Lawton, OK MSA","Lawton, OK MSA","2769591210","37494739","380","00",,,"4200","4200",114996
"Lewiston--Auburn, ME MSA","Lewiston--Auburn, ME MSA","789001492","53576487","380","00",,,"4240","4240",90830
"Lexington, KY MSA","Lexington, KY MSA","4971406595","19947622","380","00",,,"4280","4280",479198
"Lima, OH MSA","Lima, OH MSA","2086698718","7568851","380","00",,,"4320","4320",155084
"Lincoln, NE MSA","Lincoln, NE MSA","2172691291","20275749","380","00",,,"4360","4360",250291
"Little Rock--North Little Rock, AR MSA","Little Rock--North Little Rock, AR MSA","7530704626","251550964","380","00",,,"4400","4400",583845
"Longview--Marshall, TX MSA","Longview--Marshall, TX MSA","4559361509","61508715","380","00",,,"4420","4420",208780
"Los Angeles--Riverside--Orange County, CA CMSA","Los Angeles--Riverside--Orange County, CA CMSA","87944180276","3526275302","380","00",,,"4472","4472",16373645
"Louisville, KY--IN MSA","Louisville, KY--IN MSA","5366440617","71075709","380","00",,,"4520","4520",1025598
"Lubbock, TX MSA","Lubbock, TX MSA","2329677242","3115562","380","00",,,"4600","4600",242628
"Lynchburg, VA MSA","Lynchburg, VA MSA","4637211627","55722938","380","00",,,"4640","4640",214911
"Macon, GA MSA","Macon, GA MSA","3967360413","33522590","380","00",,,"4680","4680",322549
"Madison, WI MSA","Madison, WI MSA","3112893194","94332123","380","00",,,"4720","4720",426526
"Mansfield, OH MSA","Mansfield, OH MSA","2328374012","10794485","380","00",,,"4800","4800",175818
"Mayagüez, PR MSA","Mayagüez, PR MSA","748451996","800663105","380","00",,,"4840","4840",253347
"McAllen--Edinburg--Mission, TX MSA","McAllen--Edinburg--Mission, TX MSA","4065624249","33456472","380","00",,,"4880","4880",569463
"Medford--Ashland, OR MSA","Medford--Ashland, OR MSA","7213617232","42924739","380","00",,,"4890","4890",181269
"Melbourne--Titusville--Palm Bay, FL MSA","Melbourne--Titusville--Palm Bay, FL MSA","2637097850","1395383121","380","00",,,"4900","4900",476230
"Memphis, TN--AR--MS MSA","Memphis, TN--AR--MS MSA","7786612678","237269943","380","00",,,"4920","4920",1135614
"Merced, CA MSA","Merced, CA MSA","4995295707","111833232","380","00",,,"4940","4940",210554
"Miami--Fort Lauderdale, FL CMSA","Miami--Fort Lauderdale, FL CMSA","8162242950","1552518431","380","00",,,"4992","4992",3876380
"Milwaukee--Racine, WI CMSA","Milwaukee--Racine, WI CMSA","4643831524","6011830965","380","00",,,"5082","5082",1689572
"Minneapolis--St. Paul, MN--WI MSA","Minneapolis--St. Paul, MN--WI MSA","15703276560","779721204","380","00",,,"5120","5120",2968806
"Missoula, MT MSA","Missoula, MT MSA","6728702048","52766899","380","00",,,"5140","5140",95802
"Mobile, AL MSA","Mobile, AL MSA","7328209405","2179511815","380","00",,,"5160","5160",540258
"Modesto, CA MSA","Modesto, CA MSA","3868899889","54072211","380","00",,,"5170","5170",446997
"Monroe, LA MSA","Monroe, LA MSA","1581261555","57424910","380","00",,,"5200","5200",147250
"Montgomery, AL MSA","Montgomery, AL MSA","5198071905","140966656","380","00",,,"5240","5240",333055
"Muncie, IN MSA","Muncie, IN MSA","1018621049","6819770","380","00",,,"5280","5280",118769
"Myrtle Beach, SC MSA","Myrtle Beach, SC MSA","2936222646","314111945","380","00",,,"5330","5330",196629
"Naples, FL MSA","Naples, FL MSA","5245610020","724123671","380","00",,,"5345","5345",251377
"Nashville, TN MSA","Nashville, TN MSA","10548325361","161491736","380","00",,,"5360","5360",1231311
"New London--Norwich, CT--RI MSA","New London--Norwich, CT--RI MSA","1715197262","311274793","380","00",,,"5520","5520",293566
"New Orleans, LA MSA","New Orleans, LA MSA","8804646460","10244157697","380","00",,,"5560","5560",1337726
"New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA","New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA","27065013700","6910276447","380","00",,,"5602","5602",21199865
"Norfolk--Virginia Beach--Newport News, VA--NC MSA","Norfolk--Virginia Beach--Newport News, VA--NC MSA","6082551532","3205658429","380","00",,,"5720","5720",1569541
"Ocala, FL MSA","Ocala, FL MSA","4089224040","217955919","380","00",,,"5790","5790",258916
"Odessa--Midland, TX MSA","Odessa--Midland, TX MSA","4665362644","6060688","380","00",,,"5800","5800",237132
"Oklahoma City, OK MSA","Oklahoma City, OK MSA","10999001413","148648305","380","00",,,"5880","5880",1083346
"Omaha, NE--IA MSA","Omaha, NE--IA MSA","6411335163","81212682","380","00",,,"5920","5920",716998
"Orlando, FL MSA","Orlando, FL MSA","9040887380","1349661175","380","00",,,"5960","5960",1644561
"Owensboro, KY MSA","Owensboro, KY MSA","1197581574","35960165","380","00",,,"5990","5990",91545
"Panama City, FL MSA","Panama City, FL MSA","1977917239","698252537","380","00",,,"6015","6015",148217
"Parkersburg--Marietta, WV--OH MSA","Parkersburg--Marietta, WV--OH MSA","2596303205","37940026","380","00",,,"6020","6020",151237
"Pensacola, FL MSA","Pensacola, FL MSA","4349313488","957928110","380","00",,,"6080","6080",412153
"Peoria--Pekin, IL MSA","Peoria--Pekin, IL MSA","4652480597","91141157","380","00",,,"6120","6120",347387
"Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA","Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA","15372073458","2340730375","380","00",,,"6162","6162",6188463
"Phoenix--Mesa, AZ MSA","Phoenix--Mesa, AZ MSA","37743201887","66375900","380","00",,,"6200","6200",3251876
"Pine Bluff, AR MSA","Pine Bluff, AR MSA","2291661025","74801688","380","00",,,"6240","6240",84278
"Pittsburgh, PA MSA","Pittsburgh, PA MSA","11980325552","137424906","380","00",,,"6280","6280",2358695
"Pittsfield, MA MSA","Pittsfield, MA MSA","652175419","14873739","380","00",,,"6320","6320",84699
"Pocatello, ID MSA","Pocatello, ID MSA","2883429627","88465277","380","00",,,"6340","6340",75565
"Ponce, PR MSA","Ponce, PR MSA","946173171","448656337","380","00",,,"6360","6360",361094
"Portland, ME MSA","Portland, ME MSA","1621999982","509277196","380","00",,,"6400","6400",243537
"Portland--Salem, OR--WA CMSA","Portland--Salem, OR--WA CMSA","18007253805","309742156","380","00",,,"6442","6442",2265223
"Providence--Fall River--Warwick, RI--MA MSA","Providence--Fall River--Warwick, RI--MA MSA","2955715040","556773636","380","00",,,"6480","6480",1188613
"Provo--Orem, UT MSA","Provo--Orem, UT MSA","5175657032","369442863","380","00",,,"6520","6520",368536
"Pueblo, CO MSA","Pueblo, CO MSA","6186671073","23414372","380","00",,,"6560","6560",141472
"Punta Gorda, FL MSA","Punta Gorda, FL MSA","1796425560","428681612","380","00",,,"6580","6580",141627
"Raleigh--Durham--Chapel Hill, NC MSA","Raleigh--Durham--Chapel Hill, NC MSA","9035974395","173217008","380","00",,,"6640","6640",1187941
"Rapid City, SD MSA","Rapid City, SD MSA","7190183937","21134320","380","00",,,"6660","6660",88565
"Reading, PA MSA","Reading, PA MSA","2224489314","17575375","380","00",,,"6680","6680",373638
"Redding, CA MSA","Redding, CA MSA","9803608907","161203391","380","00",,,"6690","6690",163256
"Reno, NV MSA","Reno, NV MSA","16426407878","541430135","380","00",,,"6720","6720",339486
"Richland--Kennewick--Pasco, WA MSA","Richland--Kennewick--Pasco, WA MSA","7628792137","207146409","380","00",,,"6740","6740",191822
"Richmond--Petersburg, VA MSA","Richmond--Petersburg, VA MSA","7626136238","218741564","380","00",,,"6760","6760",996512
"Roanoke, VA MSA","Roanoke, VA MSA","2204068409","9023031","380","00",,,"6800","6800",235932
"Rochester, MN MSA","Rochester, MN MSA","1691289144","3864463","380","00",,,"6820","6820",124277
"Rochester, NY MSA","Rochester, NY MSA","8872061362","5024319311","380","00",,,"6840","6840",1098201
"Rockford, IL MSA","Rockford, IL MSA","4024414586","27578121","380","00",,,"6880","6880",371236
"Rocky Mount, NC MSA","Rocky Mount, NC MSA","2707300387","10303105","380","00",,,"6895","6895",143026
"Sacramento--Yolo, CA CMSA","Sacramento--Yolo, CA CMSA","13193744568","557138762","380","00",,,"6922","6922",1796857
"Saginaw--Bay City--Midland, MI MSA","Saginaw--Bay City--Midland, MI MSA","4595600329","518528442","380","00",,,"6960","6960",403070
"St. Cloud, MN MSA","St. Cloud, MN MSA","4539713538","129840137","380","00",,,"6980","6980",167392
"St. Joseph, MO MSA","St. Joseph, MO MSA","2188315920","15945655","380","00",,,"7000","7000",102490
"St. Louis, MO--IL MSA","St. Louis, MO--IL MSA","16555383195","402813874","380","00",,,"7040","7040",2603607
"Salinas, CA MSA","Salinas, CA MSA","8603818751","1163213553","380","00",,,"7120","7120",401762
"Salt Lake City--Ogden, UT MSA","Salt Lake City--Ogden, UT MSA","4189033159","1252390127","380","00",,,"7160","7160",1333914
"San Angelo, TX MSA","San Angelo, TX MSA","3942213774","47758522","380","00",,,"7200","7200",104010
"San Antonio, TX MSA","San Antonio, TX MSA","8615328402","71482634","380","00",,,"7240","7240",1592383
"San Diego, CA MSA","San Diego, CA MSA","10877666909","843363020","380","00",,,"7320","7320",2813833
"San Francisco--Oakland--San Jose, CA CMSA","San Francisco--Oakland--San Jose, CA CMSA","19082547681","3706106536","380","00",,,"7362","7362",7039362
"San Juan--Caguas--Arecibo, PR CMSA","San Juan--Caguas--Arecibo, PR CMSA","3719181445","1612285538","380","00",,,"7442","7442",2450292
"San Luis Obispo--Atascadero--Paso Robles, CA MSA","San Luis Obispo--Atascadero--Paso Robles, CA MSA","8558152840","806063654","380","00",,,"7460","7460",246681
"Santa Barbara--Santa Maria--Lompoc, CA MSA","Santa Barbara--Santa Maria--Lompoc, CA MSA","7088826764","2724845772","380","00",,,"7480","7480",399347
"Santa Fe, NM MSA","Santa Fe, NM MSA","5227982179","4137562","380","00",,,"7490","7490",147635
"Sarasota--Bradenton, FL MSA","Sarasota--Bradenton, FL MSA","3399560928","790857372","380","00",,,"7510","7510",589959
"Savannah, GA MSA","Savannah, GA MSA","3520412684","544811793","380","00",,,"7520","7520",293000
"Scranton--Wilkes-Barre--Hazleton, PA MSA","Scranton--Wilkes-Barre--Hazleton, PA MSA","5781338673","88127402","380","00",,,"7560","7560",624776
"Seattle--Tacoma--Bremerton, WA CMSA","Seattle--Tacoma--Bremerton, WA CMSA","18713825583","2437150799","380","00",,,"7602","7602",3554760
"Sharon, PA MSA","Sharon, PA MSA","1739995300","27861703","380","00",,,"7610","7610",120293
"Sheboygan, WI MSA","Sheboygan, WI MSA","1330296514","1961500967","380","00",,,"7620","7620",112646
"Sherman--Denison, TX MSA","Sherman--Denison, TX MSA","2417785952","118311716","380","00",,,"7640","7640",110595
"Shreveport--Bossier City, LA MSA","Shreveport--Bossier City, LA MSA","5999623016","265319132","380","00",,,"7680","7680",392302
"Sioux City, IA--NE MSA","Sioux City, IA--NE MSA","2943238955","21721391","380","00",,,"7720","7720",124130
"Sioux Falls, SD MSA","Sioux Falls, SD MSA","3594284202","11694954","380","00",,,"7760","7760",172412
"South Bend, IN MSA","South Bend, IN MSA","1184506795","9404250","380","00",,,"7800","7800",265559
"Spokane, WA MSA","Spokane, WA MSA","4567796041","44250985","380","00",,,"7840","7840",417939
"Springfield, IL MSA","Springfield, IL MSA","3062478225","25771570","380","00",,,"7880","7880",201437
"Springfield, MO MSA","Springfield, MO MSA","4743432994","10572047","380","00",,,"7920","7920",325721
"Springfield, MA MSA","Springfield, MA MSA","1905272079","63714814","380","00",,,"8000","8000",591932
