Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
160,"Flexible or Portable Closure, Partition, or Panel",4,5,5,5,3,9,3,2,2,0,3,3,44
318,"Electricity:  Motive Power Systems",0,2,0,2,0,2,6,4,4,3,0,0,23
340,"Communications:  Electrical",3,0,1,0,0,2,1,7,3,1,0,3,21
052,"Static Structures (e.g., Buildings)",3,3,3,1,1,1,2,1,1,1,1,2,20
210,"Liquid Purification or Separation",3,0,0,0,1,4,2,2,2,0,3,0,17
439,"Electrical Connectors",3,1,0,1,2,2,2,1,1,2,0,0,15
049,"Movable or Removable Closures",1,0,1,3,1,0,0,1,2,1,0,0,10
532,"Organic Compounds (includes Classes 532-570)",0,2,0,3,2,1,0,1,1,0,0,0,10
473,"Games Using Tangible Projectile",4,1,0,0,1,1,0,0,0,0,0,2,9
073,"Measuring and Testing",2,0,0,1,0,1,0,0,0,2,1,0,7
280,"Land Vehicles",1,0,0,0,0,1,1,0,0,1,1,2,7
084,"Music",0,1,1,0,1,0,1,0,0,1,0,1,6
128,"Surgery (includes Class 600)",1,0,0,0,2,2,0,0,0,1,0,0,6
427,"Coating Processes",2,1,1,0,1,0,0,0,0,0,0,1,6
043,"Fishing, Trapping, and Vermin Destroying",0,1,1,0,0,0,1,1,0,0,1,0,5
112,"Sewing",0,0,0,0,2,0,0,1,0,1,1,0,5
381,"Electrical Audio Signal Processing Systems and Devices",0,2,0,0,0,0,1,1,0,1,0,0,5
428,"Stock Material or Miscellaneous Articles",1,1,1,1,0,0,0,1,0,0,0,0,5
482,"Exercise Devices",0,1,0,0,0,1,0,0,0,0,2,1,5
002,"Apparel",0,0,0,1,1,1,0,0,0,0,1,0,4
016,"Miscellaneous Hardware",0,0,0,0,0,0,0,2,0,0,2,0,4
040,"Card, Picture, or Sign Exhibiting",2,0,1,0,0,0,0,0,0,1,0,0,4
047,"Plant Husbandry",1,0,0,0,0,0,0,0,1,0,1,1,4
114,"Ships",0,0,0,0,0,1,2,1,0,0,0,0,4
119,"Animal Husbandry",0,0,0,0,0,0,0,0,1,2,0,1,4
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",0,0,0,2,1,0,1,0,0,0,0,0,4
162,"Paper Making and Fiber Liberation",2,2,0,0,0,0,0,0,0,0,0,0,4
180,"Motor Vehicles",0,0,0,1,0,0,0,1,0,0,2,0,4
206,"Special Receptacle or Package",1,0,1,0,1,0,0,0,0,0,1,0,4
248,"Supports (e.g., for holding articles, etc.)",0,0,0,1,0,0,0,0,0,2,0,1,4
292,"Closure Fasteners",0,0,1,1,0,1,0,1,0,0,0,0,4
379,"Telephonic Communications",0,1,0,0,1,0,0,1,0,0,0,1,4
029,"Metal Working",0,0,0,0,0,3,0,0,0,0,0,0,3
123,"Internal-Combustion Engines",0,0,0,1,0,0,0,0,1,0,1,0,3
135,"Tent, Canopy, Umbrella, or Cane",0,0,0,1,0,0,0,2,0,0,0,0,3
174,"Electricity:  Conductors and Insulators",0,0,0,0,1,1,0,1,0,0,0,0,3
203,"Distillation: Processes, Separatory",2,0,0,0,0,1,0,0,0,0,0,0,3
