Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
606,"Surgery (instruments)",3,3,1,8,1,2,4,6,3,5,4,13,53
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",0,1,0,1,1,2,2,2,1,0,2,6,18
164,"Metal Founding",2,1,0,3,2,0,3,1,1,1,0,0,14
405,"Hydraulic and Earth Engineering",0,1,3,1,1,2,1,0,1,1,2,1,14
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",0,1,1,0,0,1,4,3,1,0,1,2,14
065,"Glass Manufacturing",0,0,0,0,0,2,3,1,0,0,3,4,13
128,"Surgery (includes Class 600)",3,2,1,1,1,0,2,1,0,1,1,0,13
428,"Stock Material or Miscellaneous Articles",1,1,3,2,0,0,0,1,0,0,0,4,12
123,"Internal-Combustion Engines",1,0,1,0,1,1,2,1,0,0,2,2,11
062,"Refrigeration",1,2,0,1,0,1,1,2,1,0,0,1,10
210,"Liquid Purification or Separation",1,1,1,1,0,1,0,2,1,1,0,1,10
280,"Land Vehicles",0,0,2,3,2,1,0,0,0,0,1,1,10
052,"Static Structures (e.g., Buildings)",2,0,1,0,0,1,2,1,0,0,1,1,9
137,"Fluid Handling",1,0,1,0,0,1,2,0,0,4,0,0,9
379,"Telephonic Communications",0,0,1,0,1,3,3,1,0,0,0,0,9
473,"Games Using Tangible Projectile",0,1,1,3,1,2,1,0,0,0,0,0,9
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",0,0,0,1,0,0,1,0,1,3,2,1,9
005,"Beds",2,0,1,0,1,3,0,0,0,0,0,1,8
114,"Ships",1,0,0,1,0,1,2,0,1,0,1,1,8
439,"Electrical Connectors",1,0,0,0,0,0,2,2,2,0,0,1,8
029,"Metal Working",0,0,1,0,0,0,0,2,0,3,0,1,7
482,"Exercise Devices",1,0,0,0,2,0,0,2,1,0,0,1,7
002,"Apparel",0,2,0,0,1,0,0,2,0,0,1,0,6
324,"Electricity:  Measuring and Testing",1,1,0,1,0,0,1,0,2,0,0,0,6
340,"Communications:  Electrical",1,0,0,0,0,1,2,0,0,0,1,1,6
