Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
439,"Electrical Connectors",78,57,68,65,85,46,67,59,68,68,103,86,850
385,"Optical Waveguides",5,5,8,8,10,9,7,1,5,2,6,3,69
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",2,4,3,6,3,0,2,1,1,1,1,6,30
029,"Metal Working",3,2,1,2,2,0,4,5,2,1,2,3,27
361,"Electricity:  Electrical Systems and Devices",2,1,2,0,4,5,1,2,2,2,1,2,24
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",0,1,5,2,0,6,0,1,3,1,3,1,23
435,"Chemistry: Molecular Biology and Microbiology",2,1,2,2,1,4,0,0,0,1,3,1,17
174,"Electricity:  Conductors and Insulators",1,1,5,0,1,0,1,2,1,0,1,1,14
052,"Static Structures (e.g., Buildings)",2,0,2,1,1,1,2,1,1,0,0,0,11
362,"Illumination",4,1,0,0,0,0,1,1,0,1,1,2,11
128,"Surgery (includes Class 600)",0,1,1,2,2,0,1,2,0,0,0,1,10
333,"Wave Transmission Lines and Networks",1,0,0,2,3,1,0,1,0,0,0,0,8
280,"Land Vehicles",0,1,0,0,0,3,1,1,0,0,0,1,7
331,"Oscillators",1,0,2,3,0,0,0,0,0,1,0,0,7
414,"Material or Article Handling",2,0,0,1,1,0,0,0,0,1,1,1,7
426,"Food or Edible Material:  Processes, Compositions, and Products",0,0,0,1,0,0,0,1,1,0,2,2,7
428,"Stock Material or Miscellaneous Articles",1,0,1,1,1,1,0,0,1,1,0,0,7
433,"Dentistry",0,1,0,1,0,0,0,0,0,0,5,0,7
005,"Beds",0,1,0,0,0,2,2,0,0,0,1,0,6
073,"Measuring and Testing",0,0,0,1,0,0,0,0,2,1,0,2,6
239,"Fluid Sprinkling, Spraying, and Diffusing",0,0,0,0,6,0,0,0,0,0,0,0,6
242,"Winding, Tensioning, or Guiding",0,0,0,0,0,0,2,1,0,1,0,2,6
