Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
296,"Land Vehicles:  Bodies and Tops",8,6,3,5,3,7,3,3,4,2,1,1,46
280,"Land Vehicles",3,2,1,2,3,3,3,3,0,3,9,4,36
324,"Electricity:  Measuring and Testing",2,4,1,2,6,1,1,0,3,1,2,1,24
606,"Surgery (instruments)",1,0,1,0,1,2,3,3,0,3,7,2,23
052,"Static Structures (e.g., Buildings)",5,1,0,1,2,3,2,3,2,2,0,1,22
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",1,1,2,1,1,5,4,1,1,1,1,3,22
073,"Measuring and Testing",1,0,3,4,2,1,2,3,4,0,0,1,21
436,"Chemistry: Analytical and Immunological Testing",1,5,2,1,2,2,1,0,0,3,0,3,20
435,"Chemistry: Molecular Biology and Microbiology",2,2,3,0,3,1,4,1,1,0,0,1,18
141,"Fluent Material Handling, with Receiver or Receiver Coacting Means",1,0,0,0,5,3,1,0,0,0,0,0,10
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",1,1,1,1,0,0,1,1,0,1,2,1,10
005,"Beds",0,0,0,3,0,0,0,2,1,2,1,0,9
454,"Ventilation",1,1,2,2,0,1,0,0,1,1,0,0,9
119,"Animal Husbandry",0,0,0,1,1,1,0,1,0,0,2,2,8
128,"Surgery (includes Class 600)",0,1,0,2,0,0,1,1,0,1,0,2,8
160,"Flexible or Portable Closure, Partition, or Panel",3,3,0,0,0,1,0,0,1,0,0,0,8
297,"Chairs and Seats",0,0,2,0,0,1,0,1,1,1,0,2,8
114,"Ships",0,0,0,1,3,0,2,0,1,0,0,0,7
338,"Electrical Resistors",3,0,3,0,0,0,0,0,0,0,0,0,6
070,"Locks",1,0,1,1,0,1,0,1,0,0,0,0,5
137,"Fluid Handling",0,2,0,0,1,0,0,2,0,0,0,0,5
211,"Supports:  Racks",0,0,3,2,0,0,0,0,0,0,0,0,5
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",2,0,0,0,1,0,0,1,0,1,0,0,5
362,"Illumination",0,1,0,2,1,0,1,0,0,0,0,0,5
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",0,1,0,0,0,0,0,2,1,0,0,1,5
002,"Apparel",0,0,0,0,1,0,1,1,0,0,0,1,4
008,"Bleaching and Dyeing; Fluid Treatment and Chemical Modification of Textiles and Fibers",0,0,0,0,0,0,0,1,0,0,2,1,4
072,"Metal Deforming",1,0,1,0,0,1,0,1,0,0,0,0,4
126,"Stoves and Furnaces",0,0,0,1,0,0,0,1,1,0,1,0,4
200,"Electricity:  Circuit Makers and Breakers",1,0,0,0,1,1,0,0,0,1,0,0,4
254,"Implements or Apparatus for Applying Pushing or Pulling Force",0,0,1,1,0,0,0,1,0,0,1,0,4
256,"Fences",0,0,0,0,0,1,2,1,0,0,0,0,4
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",0,2,1,0,0,0,0,1,0,0,0,0,4
439,"Electrical Connectors",0,0,0,2,1,0,0,0,0,0,1,0,4
049,"Movable or Removable Closures",1,0,0,0,1,1,0,0,0,0,0,0,3
177,"Weighing Scales",0,0,2,0,0,1,0,0,0,0,0,0,3
204,"Chemistry:  Electrical and Wave Energy",0,0,0,0,1,1,0,0,0,1,0,0,3
239,"Fluid Sprinkling, Spraying, and Diffusing",0,0,0,0,0,0,0,1,0,0,0,2,3
