Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
606,"Surgery (instruments)",0,1,2,1,0,0,1,0,0,0,0,0,5
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",1,1,0,1,0,0,1,0,0,0,0,1,5
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",0,1,0,0,0,0,0,0,1,0,1,1,4
005,"Beds",0,1,0,0,0,0,0,0,1,1,0,0,3
224,"Package and Article Carriers",0,1,0,1,1,0,0,0,0,0,0,0,3
435,"Chemistry: Molecular Biology and Microbiology",0,0,0,0,0,0,2,0,0,1,0,0,3
532,"Organic Compounds (includes Classes 532-570)",0,0,0,0,0,0,0,0,0,2,1,0,3
180,"Motor Vehicles",0,0,0,0,0,0,0,1,0,0,1,0,2
335,"Electricity:  Magnetically Operated Switches, Magnets, and Electromagnets",0,0,1,0,0,1,0,0,0,0,0,0,2
002,"Apparel",0,0,0,1,0,0,0,0,0,0,0,0,1
042,"Firearms",0,0,1,0,0,0,0,0,0,0,0,0,1
043,"Fishing, Trapping, and Vermin Destroying",0,0,1,0,0,0,0,0,0,0,0,0,1
052,"Static Structures (e.g., Buildings)",0,0,0,0,0,0,0,1,0,0,0,0,1
074,"Machine Element or Mechanism",1,0,0,0,0,0,0,0,0,0,0,0,1
084,"Music",0,0,0,0,0,0,0,0,1,0,0,0,1
114,"Ships",0,0,0,0,0,1,0,0,0,0,0,0,1
212,"Traversing Hoists",0,0,0,0,0,0,0,0,0,0,0,1,1
222,"Dispensing (apparatus and process)",0,0,0,0,0,0,0,0,1,0,0,0,1
239,"Fluid Sprinkling, Spraying, and Diffusing",0,0,0,0,0,1,0,0,0,0,0,0,1
244,"Aeronautics and Astronautics",1,0,0,0,0,0,0,0,0,0,0,0,1
248,"Supports (e.g., for holding articles, etc.)",1,0,0,0,0,0,0,0,0,0,0,0,1
261,"Gas and Liquid Contact Apparatus",0,0,0,0,0,0,0,0,1,0,0,0,1
285,"Pipe Joints or Couplings",0,0,0,0,0,0,0,0,1,0,0,0,1
297,"Chairs and Seats",0,0,0,0,0,0,0,0,0,0,0,1,1
343,"Communications:  Radio Wave Antennas",0,0,0,0,0,0,1,0,0,0,0,0,1
366,"Agitating (e.g., of articles and materials)",0,1,0,0,0,0,0,0,0,0,0,0,1
404,"Road Structure, Process, or Apparatus",0,0,0,0,0,0,0,0,1,0,0,0,1
415,"Rotary Kinetic Fluid Motors or Pumps",0,0,0,0,1,0,0,0,0,0,0,0,1
416,"Fluid Reaction Surfaces (i.e., Impellers)",0,0,0,1,0,0,0,0,0,0,0,0,1
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",0,0,0,0,1,0,0,0,0,0,0,0,1
434,"Education and Demonstration",0,0,0,0,1,0,0,0,0,0,0,0,1
439,"Electrical Connectors",0,0,0,0,0,0,0,0,0,0,0,1,1
446,"Amusement Devices:  Toys",1,0,0,0,0,0,0,0,0,0,0,0,1
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",0,0,1,0,0,0,0,0,0,0,0,0,1
