Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",14,17,6,11,6,4,6,10,6,6,3,3,92
385,"Optical Waveguides",0,2,0,1,3,2,8,11,5,2,6,1,41
435,"Chemistry: Molecular Biology and Microbiology",0,1,0,4,0,0,1,4,3,2,7,4,26
532,"Organic Compounds (includes Classes 532-570)",2,1,0,0,0,4,2,1,2,5,4,5,26
359,"Optical: Systems and Elements",3,2,2,1,1,3,3,3,0,1,0,1,20
340,"Communications:  Electrical",2,2,1,1,0,1,2,1,3,3,2,0,18
347,"Incremental Printing of Symbolic Information",0,4,2,2,3,1,1,1,1,0,0,0,15
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",1,1,1,2,0,1,0,1,0,0,3,5,15
296,"Land Vehicles:  Bodies and Tops",1,0,2,0,0,0,0,4,4,2,1,0,14
241,"Solid Material Comminution or Disintegration",1,0,0,0,0,2,5,2,2,0,1,0,13
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",1,0,2,0,1,3,2,0,1,0,1,2,13
248,"Supports (e.g., for holding articles, etc.)",3,1,1,1,1,0,1,0,0,0,3,1,12
030,"Cutlery",0,0,2,1,1,0,2,1,0,2,2,0,11
280,"Land Vehicles",2,1,1,1,0,0,1,0,1,1,3,0,11
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",1,1,0,0,1,1,1,1,3,0,0,2,11
209,"Classifying, Separating, and Assorting Solids",1,0,2,0,0,2,0,2,0,1,1,1,10
052,"Static Structures (e.g., Buildings)",1,2,2,3,0,1,0,0,0,0,0,0,9
124,"Mechanical Guns and Projectors",0,0,0,0,0,0,0,1,0,1,4,3,9
210,"Liquid Purification or Separation",0,1,1,1,1,1,1,1,0,1,1,0,9
370,"Multiplex Communications",0,0,0,0,1,0,1,0,1,1,3,2,9
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",1,0,0,2,2,0,2,0,1,0,1,0,9
128,"Surgery (includes Class 600)",0,1,0,3,1,0,1,0,1,0,1,0,8
250,"Radiant Energy",1,2,0,2,0,2,0,0,0,0,0,1,8
348,"Television",3,3,0,0,0,0,0,0,1,1,0,0,8
